Search Parameters,Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
"[""111 <= Year >= 2011"",""-30 <= Latitude >= 30""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1692,6,4,,,Serua,Banda Sea,Pacific Ocean,-6.312,130.017,608,Stratovolcano,4,L,,2,,,,,,,,,,2,,,,,,,,
,1694,11,20,,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,3,,,2,,,,,,,,,,2,,,,,,,,
,1698,,,,,Ciremai,Java,Indonesia,-6.895,108.408,3039,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1711,12,11,,,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,P,3000,4,,,,,,,,,3000,4,,,,,,,,
,1716,7,20,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,2,M,,1,,,,,,,,,,1,,,,,,,,
,1716,9,24,387,1205,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,3,,3
,1730,,,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,3,"M,T",,3,,,,,,,,,,3,,,,,,,,
,1749,8,11,431,1304,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,3,,,1,,,,,,1,,,,1,,,,,,3,,3
,1754,11,28,2853,1328,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,4,"W,T",,1,,,,,,4,,4,12,1,,,,,,4,,4
,1760,,,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,M,2000,4,,,,,,,,,2000,4,,,,,,,,
,1766,7,20,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,m,49,1,,,,,,,,,49,1,,,,,,,,
,1770,,,500,9532,Dempo,Sumatra,Indonesia,-4.016,103.121,3142,Stratovolcano,,,,,,,,,,,,,,,,,,,,3,,3
,1772,5,9,504,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,3,T,35,1,,,,,,,,,35,1,,,,,,,,
,1772,8,12,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,3,A,2957,4,,,,,,,,3,2957,4,,,,,,,,3
,1773,2,2,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,2,I,,2,,,,,,,,,,2,,,,,,,,
,1775,,,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,3,"P,I",1300,4,,,,,,,,,1300,4,,,,,,,,
,1775,,,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1786,,,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,A,38,1,,,,,,,,2,38,1,,,,,,,,2
,1800,10,8,,,Guntur,Java,Indonesia,-7.143,107.841,2251,Complex volcano,,M,,3,,,,,,,,,,3,,,,,,,,
,1800,10,30,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1800,,,,,Kyejo,Africa-E,Tanzania,-9.229,33.792,2176,Stratovolcano,2,L,,3,,,,,,3,,,,3,,,,,,3,,
,1812,8,6,,,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,"P,M",953,3,,,,,,,,,953,3,,,,,,,,
,1814,2,1,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,4,"P,M,E",1200,4,,,,,,3,,3,1200,4,,,,,,3,,3
,1815,4,10,613,,Tambora,Lesser Sunda Is,Indonesia,-8.25,118,2850,Stratovolcano,7,"P,W,A,I",11000,4,,,,4,,4,,4,60000,4,,,,4,,4,,4
,1817,1,24,,,Ijen,Java,Indonesia,-8.058,114.242,2769,Stratovolcano,2,M,,2,,,,,,,90,2,,2,,,,,,,90,2
,1817,,,,,Raung,Java,Indonesia,-8.119,114.056,3260,Stratovolcano,4,,,1,,,,,,,,,,1,,,,,,,,
,1819,,,623,,Asuncion,Mariana Is-C Pacific,United States,19.671,145.406,857,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,1820,6,11,,,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,2,,,1,,,,,,,,,,1,,,,,,,,
,1822,10,8,,,Galunggung,Java,Indonesia,-7.25,108.058,2168,Stratovolcano,5,"P,M",4011,4,,,,,,3,,3,4011,4,,,,,,3,,3
,1822,12,27,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,,100,2,,,,2,,3,,3,100,2,,,,2,,3,,3
,1825,,,,,Balbi,Bougainville-SW Paci,Papua New Guinea,-5.916,155.001,2715,Stratovolcano,,P,,3,,,,,,,,,,3,,,,,,,,
,1826,10,11,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,,,2,,,,,,,,,,2,,,,,,,,
,1826,10,13,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,M,,1,,,65,2,,3,,3,,1,,,65,2,,3,,3
,1829,,,,,Guntur,Java,Indonesia,-7.143,107.841,2251,Complex volcano,2,,,3,,,,,,,,,,3,,,,,,,,
,1832,12,25,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,,32,1,,,,,,,,2,32,1,,,,,,,,2
,1833,11,24,,,Kaba,Sumatra,Indonesia,-3.522,102.615,1940,Stratovolcano,2,M,126,3,,,,,,,,,126,3,,,,,,,,
,1835,11,1,,1787,Banda Api,Banda Sea,Pacific Ocean,-4.523,129.881,596,Caldera,,,,3,,,,,,2,,2,,3,,,,,,2,,2
,1837,9,,706,6050,Peuet Sague,Sumatra,Indonesia,4.903,96.289,2785,Complex volcano,,,,,,,,,,,,,,,,,,,,,,
,1838,2,26,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,2,T,4,1,,,,,,,,,4,1,,,,,,,,
,1840,2,2,718,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,2,500,3
,1840,,,,,Savo,Solomon Is-SW Pacifi,Solomon Is.,-9.13,159.82,485,Stratovolcano,3,P,,3,,,,,,,,,,3,,,,,,,,
,1840,,,,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,3,P,,3,,,,,,,,,,3,,,,,,,,
,1843,8,,,,Lamongan,Java,Indonesia,-7.981,113.341,1641,Stratovolcano,2,,4,1,,,,,,,,,4,1,,,,,,,,
,1845,2,8,741,1865,Soputan,Sulawesi-Indonesia,Indonesia,1.112,124.737,1785,Stratovolcano,2,,,,,,,,,,,,118,3,,,,,,2,,3
,1846,5,27,,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1847,12,4,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,,,2,,,,,,,,,,2,,,,,,,,
,1848,5,16,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,M,21,1,,,,,,,800,3,22,1,,,,,,,800,3
,1850,,,,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,2,T,,3,,,,,,,,,,3,,,,,,,,
,1853,7,13,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,34,1,,,,,,,,1,34,1,,,,,,,,1
,1853,10,29,809,,Unnamed,Taiwan-E of,Taiwan,24,121.83,0,Submarine volcano,2,,,,,,,,,,,,,,,,,,,,,
,1856,3,2,859,1995,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,P,2806,4,,,,2,,3,,3,2806,4,,,,2,,3,,3
,1857,4,17,869,6125,Umboi,New Guinea-NE of,Papua New Guinea,-5.592,147.892,1335,Complex volcano,,,,,,,,,,,,,,2,,,,,,2,,2
,1858,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,P,,1,,,,,,,,,,1,,,,,,,,
,1860,4,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,,,1
,1861,5,7,,2049,Dubbi,Africa-NE,Eritrea,13.579,41.809,1625,Stratovolcano,3,,106,3,,,,,,3,,3,106,3,,,,,,3,,3
,1861,12,29,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,4,"P,I",326,3,,,47,1,,,,3,326,3,,,47,1,,,,3
,1863,8,17,929,6150,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,,,,3,,,,,,,,,,3,,,,,,,,
,1864,1,3,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,2,M,54,2,,,,,,,,3,54,2,,,,,,,,3
,1869,7,7,,,Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
,1869,8,,,,Lamongan,Java,Indonesia,-7.981,113.341,1641,Stratovolcano,2,"T,A",8,1,,,,,,,,,8,1,,,,,,,,
,1870,8,,,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725,Stratovolcano,2,,,1,,,,,,,40,1,,1,,,,,,,40,1
,1870,,,,,Iliwerung,Lesser Sunda Is,Indonesia,-8.532,123.573,583,Complex volcano,3,,,1,,,,,,,,,,1,,,,,,,,
,1870,,,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,2,M,100,3,,,,,,3,,3,100,3,,,,,,3,,3
,1871,3,3,1022,,Ruang,Sangihe Is-Indonesia,Indonesia,2.3,125.37,725,Stratovolcano,2,W,,,,,,,,1,,1,400,3,,,,,,2,75,2
,1871,4,30,1020,2179,Camiguin,Mindanao-Philippines,Philippines,9.203,124.673,1552,Stratovolcano,2,,,1,,,,,,3,,3,,1,,,,,,3,,3
,1871,8,7,,,Gamalama,Halmahera-Indonesia,Indonesia,0.81,127.332,1714,Stratovolcano,2,T,1,1,,,1,1,,,,,1,1,,,1,1,,,,
,1871,12,8,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,3,1,,,,,,,,,3,1,,,,,,,,
,1872,4,15,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,T,30,1,,,,1,,,50,1,30,1,,,,1,,,50,1
,1872,4,17,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,P,170,3,,,,,,,,2,170,3,,,,,,,,2
,1872,11,3,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,4,"P,T",200,3,,,,,,3,,3,200,3,,,,,,3,,3
,1873,1,16,,,Ragang,Mindanao-Philippines,Philippines,7.691,124.507,2790,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1874,7,19,,,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1875,1,29,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,0,m,,1,,,,,,2,,2,,1,,,,,,2,,2
,1875,,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,,m,1500,4,,,,,,,,,1500,4,,,,,,,,
,1878,1,10,1086,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,3,,,,,,,,,,,,,,,,,,,1,,
,1878,1,,1095,6195,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,3,T,1,1,,,,,,,,,1,1,,,,,,,,
,1878,2,11,1096,6625,Yasur,Vanuatu-SW Pacific,Vanuatu,-19.532,169.447,361,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
,1883,3,,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,L,,3,,,,,,3,,,,3,,,,,,3,,
,1883,8,27,1142,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,6,"W,P,I",2000,4,,,,3,,3,,3,36417,4,,,,3,,3,,3
,1883,10,10,1144,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,,,,,,,,,,,,,,,,,,,,,,
,1883,12,,,,Bagana,Bougainville-SW Paci,Papua New Guinea,-6.137,155.196,1855,Lava cone,3,T,,2,,,,,,,,,,2,,,,,,,,
,1884,2,,1145,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,,,,,,,,,,,,,,,,,,,,,,
,1885,4,18,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,A,74,2,,,,,,,,,74,2,,,,,,,,
,1887,3,9,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,T,15,1,,,,,,1,,1,15,1,,,,,,1,,1
,1888,3,13,1175,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.519,148.115,75,Stratovolcano,2,W,,,,,,,,,,,,4,,,,,,3,,3
,1889,9,6,1181,6309,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,2,,,,,,,,,,,,,,,,,,,2,,2
,1890,6,29,,,Kie Besi,Halmahera-Indonesia,Indonesia,0.32,127.4,1357,Stratovolcano,2,,,,,,,,,3,,3,,,,,,,,3,,3
,1890,,,,,Victory,New Guinea,Papua New Guinea,-9.2,149.072,1832,Stratovolcano,2,P,,3,,,,,,,,,,3,,,,,,,,
,1892,5,21,,,Sorikmarapi,Sumatra,Indonesia,0.686,99.539,2145,Stratovolcano,2,M,180,3,,,,,,,,,180,3,,,,,,,,
,1892,6,7,1197,,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,3,"P,M",1532,4,,,,,,3,,3,1532,4,,,,,,3,,3
,1894,10,,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,3,"T,L",10,1,,,,,,,,,10,1,,,,,,,,
,1895,5,22,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,1,,,,,,1,,,,1,,,,,,1,,
,1895,6,17,,,Karkar,New Guinea-NE of,Papua New Guinea,-4.647,145.976,1839,Stratovolcano,2,"I,M",1,1,,,,,,,,,21,1,,,,,,,,
,1895,,,,,Dakataua,New Britain-SW Pac,Papua New Guinea,-5.046,150.1,408,Caldera,2,?,,1,,,,,,1,,,,1,,,,,,1,,
,1897,3,26,5629,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.386,165.804,796,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,1,,1
,1897,5,23,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,"P,T,M",350,3,,,,,,,,,350,3,,,,,,,,
,1899,,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145.037,1807,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
,1900,,,,,Bora-Bericha-Tullu Moye,Africa-NE,Ethiopia,8.211,39.081,2345,Pumice cone,,,,,,,,,,1,,,,,,,,,,,,
,1901,5,22,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,3,,,2,,,,,,,,,,2,,,,,,,,
,1901,8,9,1280,2595,East Epi,Vanuatu-SW Pacific,Vanuatu,-16.68,168.389,833,Stratovolcano,,W,,,,,,,,,,,,1,,,,,,2,,
,1902,12,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,2,P,16,1,,,45,1,,,,2,16,1,,,45,1,,,,2
,1903,,,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,G,17,1,,,,,,,,,17,1,,,,,,,,
,1904,2,25,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,2,L,1,1,,,,,,1,,,1,1,,,,,,1,,
,1907,8,4,,,Alayta,Africa-NE,Ethiopia,12.888,40.573,1496,Shield volcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1907,9,28,,,Lewotobi,Lesser Sunda Is,Indonesia,-8.542,122.775,1703,Stratovolcano,2,,1,1,,,,1,,,,,1,1,,,,1,,,,
,1909,9,,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,m,221,3,,,,,,1,,,221,3,,,,,,1,,
,1911,1,30,1392,8391,Taal,Luzon-Philippines,Philippines,14.011,120.998,311,Stratovolcano,3,"P,W",1335,4,,,199,3,,3,543,3,1335,4,,,199,3,,3,543,3
,1911,11,8,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1913,3,14,1407,2973,Awu,Sangihe Is-Indonesia,Indonesia,3.689,125.447,1318,Stratovolcano,2,,,,,,,,,,,,138,3,,,,2,,2,,3
,1913,6,23,,,Semeru,Java,Indonesia,-8.108,112.922,3657,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
,1913,12,6,,,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,3,T,21,1,,,,,,3,,,21,1,,,,,,3,,
,1914,1,18,,,Witori,New Britain-SW Pac,Papua New Guinea,-5.575,150.516,724,Caldera,3,I,,1,,,,,,,,,,1,,,,,,,,
,1914,,,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15.389,167.835,1496,Shield volcano,,L,100,2,,,,,,,,,100,2,,,,,,,,
,1917,1,1,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
,1918,7,18,1454,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,3,,,,,,,,,,,,,,,,,,,,,
,1919,4,3,3511,,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,3.138,125.491,-5,Submarine volcano,3,,,,,,,,,1,,1,,,,,,,,1,,1
,1919,5,19,,,Kelud,Java,Indonesia,-7.935,112.314,1730,Stratovolcano,4,M,5110,4,,,,,,,9000,4,5110,4,,,,,,,9000,4
,1920,7,25,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,P,33,1,,,,,,,,,33,1,,,,,,,,
,1923,3,2,5720,10435,"Cendres, Ile des",SE Asia,Vietnam,10.158,109.014,-20,Submarine volcanoes,2,L,,,,,,,,,,,,,,,,,,1,,
,1923,3,11,,,Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1,G,1,1,,,,,,,,,1,1,,,,,,,,
,1923,6,,,,Tangkuban Parahu,Java,Indonesia,-6.77,107.6,2084,Stratovolcano,,G,3,1,,,,,,,,,3,1,,,,,,,,
,1928,1,,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,3,P,,1,,,,,,,,,,1,,,,,,,,
,1928,3,26,1593,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1928,5,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,2,T,40,1,,,,,,,,,40,1,,,,,,,,
,1928,8,4,1607,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,3,"W,T",98,2,,,,,,1,,,226,3,,,200,3,,2,,2
,1930,3,17,1624,,Krakatau,Indonesia,Indonesia,-6.101,105.423,285,Caldera,2,,,,,,,,,,,,,,,,,,,,,
,1930,12,18,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,3,"P,M",1369,4,,,,,,3,1109,4,1369,4,,,,,,3,1109,4
,1932,2,,,,Merapi,Java,Indonesia,-7.54,110.446,2910,Stratovolcano,,m,,1,,,,,,,,,,1,,,,,,,,
,1933,12,25,1666,,Bulusan,Luzon-Philippines,Philippines,12.769,124.056,1535,Stratovolcano,2,,,,,,,,,,,,9,1,,,,,,3,,
,1937,5,29,1698,10010,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.246,152.194,688,Pyroclastic shield,4,"P,T,W,I",507,3,,,,,,1,,1,507,3,,,,,,1,,1
,1938,6,5,,,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,2,,,1,,,,,,,,,,1,,,,,,,,
,1939,10,13,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109.879,2565,Complex volcano,1,T,10,1,,,,,,1,,,10,1,,,,,,1,,
,1940,6,20,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2.781,125.407,1797,Stratovolcano,2,,1,1,,,2,1,,,,,1,1,,,2,1,,,,
,1940,7,24,,,"Lengai, Ol Doinyo",Africa-E,Tanzania,-2.764,35.914,2962,Stratovolcano,2,,,,,,,,,1,,,,,,,,,,1,,
